Codigo,Descricao,StatusConserto
509,CAIXA FERRAMENTAS ( JOI ) Nº,Disponivel
510,CAIXA FERRAMENTAS ( JOI ) Nº,Disponivel
511,QUADRO DE FERRAMENTAS JOINVILLE,Disponivel
600,CAIXA FERRAMENTAS MECANICO ( LGS ) Nº 600,Disponivel
601,CAIXA FERRAMENTAS MECANICO ( LGS ) Nº 601,Disponivel
602,CAIXA FERRAMENTAS MECANICO ( LGS ) Nº 602,Disponivel
603,CAIXA FERRAMENTAS ( LGS ) Nº 603,Disponivel
604,CAIXA FERRAMENTAS ( LGS ) Nº 604,Disponivel
605,CAIXA FERRAMENTAS ( LGS ) Nº 605,Disponivel
608,CAIXA FERRAMENTAS,Disponivel
700,CAIXA FERRAMENTAS NOVA ( ITJ ) Nº 700,Disponivel
701,CAIXA FERRAMENTAS NOVA ( ITJ ) Nº 701,Disponivel
702,CAIXA FERRAMENTAS NOVA ( ITJ ) Nº 702,Disponivel
703,CAIXA FERRAMENTAS ( ITJ ) Nº 703,Disponivel
704,CAIXA FERRAMENTAS NOVA ( ITJ ) Nº 704,Disponivel
800,CAIXA FERRAMENTAS ( RIS ) Nº 800,Disponivel
801,CAIXA FERRAMENTAS ( RIS ) Nº 801,Disponivel
802,CAIXA FERRAMENTAS ( RIS ) Nº 802,Disponivel
803,CAIXA FERRAMENTAS ( RIS ) Nº 803,Disponivel
998,PENDENCIAS DE FERRAMENTAS CTB,Disponivel
999,ITENS MANUTENÇÃO CONSERTO REGIONAL SUL,Disponivel
1000,SERRA CIRCULAR BOSCH GDC 151-,Disponivel
1001,RETIFICA ELETRICA BOSCH GGS 127L,Disponivel
1002,LIXADEIRA TREME-TREME ELETRICA 1,Disponivel
1003,SERRA TICO-TICO ELETRICA BOSCH 3000GPM,Disponivel
1004,LIXADEIRA ELETRICA GRANDE DEWALT 1,Disponivel
1005,"SERRA CIRCULAR MAQUINA GKS 7""1/4",Disponivel
1006,LIXADEIRA ELETRICA GRANDE GWS-12 UNI-II,Disponivel
1007,FURADEIRA ELETRICA G COM APOIO,Disponivel
1008,FURADEIRA ELETRICA PEQUENA- UN I,Disponivel
1009,FURADEIRA ELETRICA GRANDE,Disponivel
1010,BOMBA VACUO DUPLO ESTAGIO 2,Disponivel
1011,CABO FLANGEADO DE ROSCA PAT. 9836,Disponivel
